date,n_news,n_news_log,mean_tone,weighted_tone,mean_positive,mean_negative,mean_polarity,std_tone,min_tone,max_tone,median_tone,tone_3d_avg,tone_3d_std,news_3d_avg,tone_7d_avg,tone_7d_std,news_7d_avg,tone_14d_avg,tone_14d_std,news_14d_avg,tone_momentum,news_momentum
2026-04-14,24,3.218875824868201,1.0953,1.3181,3.4937,2.3985,5.8922,2.2073,-4.0797,5.9016,1.2967,1.0953,0.0,24.0,1.0953,0.0,24.0,1.0953,0.0,24.0,0.0,0.0
2026-04-15,31,3.4657359027997265,0.7056,1.0957,3.0827,2.3771,5.4598,1.8508,-4.7191,4.1339,0.6061,0.9004,0.2756,27.5,0.9004,0.2756,27.5,0.9004,0.2756,27.5,-0.3897,7.0
