Close,High,Low,Volume,log_return,volatility_7d,ema_7,ema_14,volume_change,rsi_14,macd,macd_signal,macd_diff,bb_width,bb_position,log_return_lag_1,log_return_lag_2,log_return_lag_3,log_return_lag_4,log_return_lag_5,momentum_5,momentum_10,target,date,n_news_shifted,n_news_log_shifted,mean_tone_shifted,weighted_tone_shifted,mean_positive_shifted,mean_negative_shifted,mean_polarity_shifted,std_tone_shifted,min_tone_shifted,max_tone_shifted,median_tone_shifted,tone_3d_avg_shifted,tone_3d_std_shifted,news_3d_avg_shifted,tone_7d_avg_shifted,tone_7d_std_shifted,news_7d_avg_shifted,tone_14d_avg_shifted,tone_14d_std_shifted,news_14d_avg_shifted,tone_momentum_shifted,news_momentum_shifted
3.6881062984466553,3.8718051248869374,3.657861758814869,661552000.0,-0.0533982219432995,0.0270752082982835,3.79187011132786,3.727932741347253,0.0156846850166427,65.70626728686781,0.112654277304796,0.1026341256318946,0.0100201516729013,0.2212348684669936,0.5677678062746162,0.0,0.0,0.0,0.0337630386128699,0.0191646765659383,-0.0194436686418888,-0.0004032237480177,1,2019-01-22,782.0,6.663132695990803,-0.5082384530362543,-0.3507999601628103,2.588281025659734,3.096519478695989,5.6848005043557235,3.356824819899358,-12.3287671232877,13.5574837310195,-0.338983050847458,-0.8114709099616219,0.4310438715429844,562.6666666666666,-0.7261844770853941,0.3567925835425389,694.2857142857143,-0.6048126885974684,0.3096490152792592,710.7857142857143,0.1130353196531537,349.0
3.700997829437256,3.832140498706805,3.6697617321374816,591020000.0,0.0034893388555735,0.0269860188797336,3.769152040855209,3.724341419759254,-0.1066159576269136,62.79071387532582,0.1006136250918365,0.102230025523883,-0.0016164004320464,0.1852279931651967,0.5604286538357547,-0.0533982219432995,0.0,0.0,0.0,0.0337630386128699,-0.0486838984624492,0.0030908004954224,1,2019-01-23,743.0,6.612041034833092,-0.8958124232596082,-0.5701123137792652,2.6586087162356753,3.554421139495284,6.21302985573096,4.091938555040295,-17.1428571428571,11.9565217391304,-0.363636363636364,-0.6751082163284234,0.1993163467709431,652.6666666666666,-0.7654841497214884,0.3583862454365956,680.7142857142857,-0.6338863177542124,0.3169392610337389,690.3571428571429,-0.3875739702233539,-39.0
3.9129576683044434,3.930558824150552,3.780823459299669,708972000.0,0.0556910580258045,0.0338663522697774,3.8051034477175176,3.749490252898613,0.199573618490068,69.62342940936483,0.1069419488221785,0.1031724101835421,0.0037695386386363,0.1785866541371831,0.8433813494842334,0.0034893388555735,-0.0533982219432995,0.0,0.0,0.0,0.0057989239779843,0.0491889277078803,1,2019-01-24,860.0,6.7580945044277305,-0.4368180953191015,0.634860840140746,2.929039188123976,3.365857283443077,6.294896471567052,4.184990509159753,-13.7931034482759,9.25925925925926,-0.4674019001614995,-0.6136229905383213,0.2469784885952268,795.0,-0.664270731414898,0.3323369963444343,697.7142857142857,-0.6370625645234096,0.3145462664662107,690.8571428571429,0.4589943279405067,117.0
3.9702236652374263,3.9883208339458593,3.750826525052834,1154572000.0,0.0145289070132826,0.0319301173985912,3.846383502097495,3.778921374543788,0.6285156536506378,68.35277997108575,0.1152495532229731,0.1055878387914283,0.0096617144315447,0.1712381319098772,0.8985710426203702,0.0556910580258045,0.0034893388555735,-0.0533982219432995,0.0,0.0,0.0205187556189638,0.0685928641823929,0,2019-01-25,849.0,6.745236349484363,-0.6591285107288479,-0.4755699531595773,2.501377499423086,3.1605060101519347,5.661883509575022,3.5170877808618313,-14.6341463414634,9.95145631067961,-0.520833333333333,-0.6639196764358525,0.229534669978226,817.3333333333334,-0.7101552938424377,0.3004113799766663,703.2857142857143,-0.6425996826838052,0.3141770881675902,695.7857142857143,-0.2223104154097464,-11.0
3.9702236652374263,3.9883208339458593,3.750826525052834,1154572000.0,0.0,0.0319301173985912,3.877343542882478,3.804428346636273,0.0,68.35277997108575,0.1204449748677785,0.1085592660066984,0.01188570886108,0.1572004977476916,0.8802901732775503,0.0145289070132826,0.0556910580258045,0.0034893388555735,-0.0533982219432995,0.0,0.0205187556189638,0.0759874489534624,0,2019-01-26,804.0,6.690842277418564,-0.3456202175157371,-0.074242287383393,2.582422084886457,2.928042302402195,5.510464387288652,3.4104914198267275,-14.0540540540541,8.69565217391304,0.0,-0.4805222745212288,0.1612588104202312,837.6666666666666,-0.6816845681011657,0.326952971464338,706.2857142857143,-0.6100159565419849,0.3199981794769166,693.6428571428571,0.3135082932131108,-45.0
3.9702236652374263,3.9883208339458593,3.750826525052834,1154572000.0,0.0,0.0319301173985912,3.900563573471215,3.826534389116427,0.0,68.35277997108575,0.1231428696052439,0.1114759867264075,0.0116668828788363,0.1572701093780721,0.8429817332533754,0.0,0.0145289070132826,0.0556910580258045,0.0034893388555735,-0.0533982219432995,0.0764938274446136,0.055562838168742,0,2019-01-27,417.0,6.035481432524756,0.2665020761757011,0.0572394279649961,3.064129400639931,2.7976273244642296,5.861756725104163,3.6423038738830646,-13.4361233480176,12.3287671232877,0.268817204301075,-0.2460822173562945,0.4707747401466235,690.0,-0.4571984851961794,0.3649865917168102,698.2857142857143,-0.5446215319588346,0.3959484600424983,693.1428571428571,0.6121222936914382,-387.0
3.4213595390319824,3.511349630895288,3.2475771633204324,2511528000.0,-0.1487844338481452,0.0657710952703751,3.780762564861407,3.7725110757718343,1.1752891980751308,37.9014827333336,0.0800692343933624,0.1051946362597985,-0.025125401866436,0.1627568161064145,-0.0604507693551036,0.0,0.0,0.0145289070132826,0.0556910580258045,0.0034893388555735,-0.0755575396940432,-0.1205630025659552,0,2019-01-28,475.0,6.16541785423142,-0.5627540903587203,-0.3498713551253637,2.878774664832611,3.441528755191331,6.320303420023943,3.5732388465973735,-12.6436781609195,9.1304347826087,0.0,-0.213957410566252,0.4300206605317982,565.3333333333334,-0.4488385305775097,0.3612532206834475,704.2857142857143,-0.5639341394817037,0.38923568939811,695.9285714285714,-0.8292561665344214,58.0
3.2624504566192627,3.423589870614671,3.247823965057454,1153932000.0,-0.0475594112917805,0.0652878273456929,3.651184537800871,3.704502993218159,-0.5405458350454384,34.0324937099269,0.0327331063922313,0.090702330286285,-0.0579692238940537,0.1959393469222135,-0.1649125989827902,-0.1487844338481452,0.0,0.0,0.0145289070132826,0.0556910580258045,-0.1662443774831475,-0.1614094920119552,1,2019-01-29,1047.0,6.954638864880987,-0.2625059698227117,-0.2582500723141208,2.889435416905726,3.151941386728437,6.041376803634162,3.625478232646575,-15.8576051779935,11.7647058823529,-0.307692307692308,-0.1862526613352435,0.4198539897694254,646.3333333333334,-0.4137338901184321,0.3664215374542436,742.1428571428571,-0.5699591836019132,0.3834141100513148,718.2142857142857,0.3002481205360085,572.0
3.4059879779815674,3.4203664606112083,3.2589792999802416,974228000.0,0.043056465752366,0.0690161883118094,3.5898853978460448,3.664700991186613,-0.1557318802147786,40.761614152576726,0.006723656170763,0.0739065954631807,-0.0671829392924176,0.2104220668528384,0.0739071461593689,-0.0475594112917805,-0.1487844338481452,0.0,0.0,0.0145289070132826,-0.1421168515507594,-0.124514156878102,1,2019-01-30,971.0,6.879355804460439,-0.8007451950174921,-0.658734427491702,2.696218156400261,3.496963351417753,6.193181507818014,3.641639646020108,-15.3846153846154,10.6481481481481,-0.945179584120983,-0.5420017517329746,0.2697190400275765,831.0,-0.4001528575124156,0.3468129624498858,774.7142857142857,-0.5828185036169521,0.3882360430681176,727.7142857142857,-0.5382392251947803,-76.0
3.563656806945801,3.5993553648950183,3.380949556495698,842852000.0,0.0452521580492431,0.0674071583768013,3.583328250120984,3.651228433287838,-0.1348513900236905,43.911370523885545,-0.0011531706799159,0.0588946422345613,-0.0600478129144773,0.2147663742178434,0.2862215228891215,0.043056465752366,-0.0475594112917805,-0.1487844338481452,0.0,0.0,-0.1024040186580552,-0.0839864660723358,1,2019-01-31,986.0,6.894670039433482,-0.6155808573463344,-0.348757371533014,2.5364304225300907,3.152011279876424,5.688441702406514,3.5897705807707987,-14.3382352941176,10.3383458646617,-0.2346138709775075,-0.5596106740621793,0.2734499258497168,1001.3333333333334,-0.4256903949448775,0.3564115384079235,792.7142857142857,-0.5449805631798877,0.3534537726735093,745.2142857142857,0.1851643376711577,15.0
