date,n_news,n_news_log,mean_tone,weighted_tone,mean_positive,mean_negative,mean_polarity,std_tone,min_tone,max_tone,median_tone,tone_3d_avg,tone_3d_std,news_3d_avg,tone_7d_avg,tone_7d_std,news_7d_avg,tone_14d_avg,tone_14d_std,news_14d_avg,tone_momentum,news_momentum
2019-01-01,525,6.26530121273771,-0.2601197879699369,-0.30468332997034064,3.10794212543713,3.368061913407067,6.476004038844198,3.4505567333217426,-13.5135135135135,11.6182572614108,0.0,-0.2601197879699369,0.0,525.0,-0.2601197879699369,0.0,525.0,-0.2601197879699369,0.0,525.0,0.0,0.0
2019-01-02,829,6.721425700790643,-0.8592392190323654,-0.7896618545471004,2.651891287005,3.511130506037366,6.163021793042365,3.2937987235045525,-16.3522012578616,9.41828254847645,-0.589390962671906,-0.5596795035011511,0.42364141244486947,677.0,-0.5596795035011511,0.42364141244486947,677.0,-0.5596795035011511,0.42364141244486947,677.0,-0.5991194310624286,304.0
2019-01-03,866,6.7650389767805414,-0.5604281299282233,-0.24963407252287953,2.5871316578587407,3.1475597877869643,5.734691445645705,3.236373149227371,-12.1739130434783,19.0625,-0.580270793036751,-0.5599290456435085,0.2995600273450789,740.0,-0.5599290456435085,0.2995600273450789,740.0,-0.5599290456435085,0.2995600273450789,740.0,0.2988110891041421,37.0
2019-01-04,759,6.633318433280377,-1.4122061364893164,-0.7707294715406854,2.332642788243119,3.744848924732435,6.0774917129755535,3.771746297859742,-15.5844155844156,13.7078651685393,-1.06951871657754,-0.9439578284833017,0.43216244076246657,818.0,-0.7729983183549605,0.49134326074935086,744.75,-0.7729983183549605,0.49134326074935086,744.75,-0.851778006561093,-107.0
2019-01-05,474,6.163314804034641,-1.3522114562933898,-1.0583219722016486,2.655046340614725,4.007257796908115,6.66230413752284,3.5240092848457567,-12.5,11.0367892976589,-0.9176936496272565,-1.1082819075703096,0.4754026311143863,699.6666666666666,-0.8888409459426463,0.49815782814781684,690.6,-0.8888409459426463,0.49815782814781684,690.6,0.059994680195926575,-285.0
2019-01-06,356,5.877735781779639,-0.43820652844924923,-0.6284958531781181,2.8395642958724876,3.277770824321737,6.117335120194225,3.3642241227708896,-14.1210374639769,9.65909090909091,0.0,-1.0675413737439852,0.5458448507035352,529.6666666666666,-0.8137352096937468,0.48205207924133614,634.8333333333334,-0.8137352096937468,0.48205207924133614,634.8333333333334,0.9140049278441406,-118.0
2019-01-07,1045,6.952728644624869,0.41890448699190524,1.3435432882392704,3.1871741226874795,2.768269635695574,5.955443758383054,3.5780049446362323,-13.9013452914798,13.8358458961474,0.498753117206983,-0.45717116591691115,0.8857102597608034,625.0,-0.6376438244529394,0.6408606746214536,693.4285714285714,-0.6376438244529394,0.6408606746214536,693.4285714285714,0.8571110154411545,689.0
2019-01-08,1029,6.937314081223682,-0.48878161506519185,-0.6045852596812157,2.6932693461906445,3.182050961255836,5.875320307446481,3.1588868043549114,-13.0232558139535,13.8381638465405,-0.387596899224806,-0.1693612188408452,0.5100802538235827,810.0,-0.6703097997522615,0.6240166294957182,765.4285714285714,-0.6190360482794709,0.5956514307124373,735.375,-0.9076861020570971,-16.0
2019-01-09,853,6.74993119378857,-0.39235064055034247,-0.3310191413631594,2.5103680486142044,2.902718689164548,5.413086737778753,3.060286906100164,-15.2941176470588,8.65384615384616,-0.247524752475248,-0.15407592287454294,0.49855255066995,975.6666666666666,-0.6036114313976869,0.6254074386149883,768.8571428571429,-0.5938487807540123,0.5622811881564623,748.4444444444445,0.09643097451484939,-176.0
2019-01-10,780,6.660575149839686,-0.5816088564833073,-0.4376289597451191,2.7959654169648966,3.3775742734482037,6.173539690413101,3.9850813122566806,-15.929203539823,12.7737226277372,-0.2294985266273595,-0.4875803706996138,0.0946348261241674,887.3333333333334,-0.6066372494769846,0.6252148980419291,756.5714285714286,-0.5926247883269417,0.5301379181777639,751.6,-0.18925821593296482,-73.0
