Close,High,Low,Volume,log_return,volatility_7d,ema_7,ema_14,volume_change,rsi_14,macd,macd_signal,macd_diff,bb_width,bb_position,log_return_lag_1,log_return_lag_2,log_return_lag_3,log_return_lag_4,log_return_lag_5,momentum_5,momentum_10,target,date
3.890397548675537,3.91642786002907,3.759502917198431,651336000.0,0.0,0.0148007062051904,3.8264580489549287,3.734059886408884,0.0,78.34088237119026,0.1276965125239466,0.1001290877136693,0.0275674248102773,0.2304378306277361,0.8266302376571415,0.0,0.0,0.0337630386128699,0.0191646765659383,-0.0068960943365606,0.0543534286156806,0.0544242853392173,0,2019-01-21
3.6881062984466553,3.8718051248869374,3.657861758814869,661552000.0,-0.0533982219432995,0.0270752082982835,3.79187011132786,3.727932741347253,0.0156846850166427,65.70626728686781,0.112654277304796,0.1026341256318946,0.0100201516729013,0.2212348684669936,0.5677678062746162,0.0,0.0,0.0,0.0337630386128699,0.0191646765659383,-0.0194436686418888,-0.0004032237480177,1,2019-01-22
3.700997829437256,3.832140498706805,3.6697617321374816,591020000.0,0.0034893388555735,0.0269860188797336,3.769152040855209,3.724341419759254,-0.1066159576269136,62.79071387532582,0.1006136250918365,0.102230025523883,-0.0016164004320464,0.1852279931651967,0.5604286538357547,-0.0533982219432995,0.0,0.0,0.0,0.0337630386128699,-0.0486838984624492,0.0030908004954224,1,2019-01-23
3.9129576683044434,3.930558824150552,3.780823459299669,708972000.0,0.0556910580258045,0.0338663522697774,3.8051034477175176,3.749490252898613,0.199573618490068,69.62342940936483,0.1069419488221785,0.1031724101835421,0.0037695386386363,0.1785866541371831,0.8433813494842334,0.0034893388555735,-0.0533982219432995,0.0,0.0,0.0,0.0057989239779843,0.0491889277078803,1,2019-01-24
3.9702236652374263,3.9883208339458593,3.750826525052834,1154572000.0,0.0145289070132826,0.0319301173985912,3.846383502097495,3.778921374543788,0.6285156536506378,68.35277997108575,0.1152495532229731,0.1055878387914283,0.0096617144315447,0.1712381319098772,0.8985710426203702,0.0556910580258045,0.0034893388555735,-0.0533982219432995,0.0,0.0,0.0205187556189638,0.0685928641823929,0,2019-01-25
3.9702236652374263,3.9883208339458593,3.750826525052834,1154572000.0,0.0,0.0319301173985912,3.877343542882478,3.804428346636273,0.0,68.35277997108575,0.1204449748677785,0.1085592660066984,0.01188570886108,0.1572004977476916,0.8802901732775503,0.0145289070132826,0.0556910580258045,0.0034893388555735,-0.0533982219432995,0.0,0.0205187556189638,0.0759874489534624,0,2019-01-26
3.9702236652374263,3.9883208339458593,3.750826525052834,1154572000.0,0.0,0.0319301173985912,3.900563573471215,3.826534389116427,0.0,68.35277997108575,0.1231428696052439,0.1114759867264075,0.0116668828788363,0.1572701093780721,0.8429817332533754,0.0,0.0145289070132826,0.0556910580258045,0.0034893388555735,-0.0533982219432995,0.0764938274446136,0.055562838168742,0,2019-01-27
3.4213595390319824,3.511349630895288,3.2475771633204324,2511528000.0,-0.1487844338481452,0.0657710952703751,3.780762564861407,3.7725110757718343,1.1752891980751308,37.9014827333336,0.0800692343933624,0.1051946362597985,-0.025125401866436,0.1627568161064145,-0.0604507693551036,0.0,0.0,0.0145289070132826,0.0556910580258045,0.0034893388555735,-0.0755575396940432,-0.1205630025659552,0,2019-01-28
3.2624504566192627,3.423589870614671,3.247823965057454,1153932000.0,-0.0475594112917805,0.0652878273456929,3.651184537800871,3.704502993218159,-0.5405458350454384,34.0324937099269,0.0327331063922313,0.090702330286285,-0.0579692238940537,0.1959393469222135,-0.1649125989827902,-0.1487844338481452,0.0,0.0,0.0145289070132826,0.0556910580258045,-0.1662443774831475,-0.1614094920119552,1,2019-01-29
3.4059879779815674,3.4203664606112083,3.2589792999802416,974228000.0,0.043056465752366,0.0690161883118094,3.5898853978460448,3.664700991186613,-0.1557318802147786,40.761614152576726,0.006723656170763,0.0739065954631807,-0.0671829392924176,0.2104220668528384,0.0739071461593689,-0.0475594112917805,-0.1487844338481452,0.0,0.0,0.0145289070132826,-0.1421168515507594,-0.124514156878102,1,2019-01-30
